id	filename	md5	size	state
fa13e24a-7005-44bc-8bbb-605e80a5c8d4	TCGA-BRCA.da97f597-b09e-40b2-8517-e98c3e643ce3.ascat3.gene_level_copy_number.v36.tsv	6c770e6291e616a529ff41101021f6a9	3455749	released
5a5d252a-050e-4d08-8861-a61a815ba784	TCGA-BRCA.ef16eca9-6bfa-4db1-860a-adccb484d2b3.ascat3.gene_level_copy_number.v36.tsv	6c4b9a5a555d5a4ad0b8e4cf6f397541	3445505	released
1709ed59-3252-4e0f-b075-2ffd99c11bfa	TCGA-BRCA.5a5c03bd-ebac-4ee3-b6dd-d5d488bb5611.ascat3.gene_level_copy_number.v36.tsv	48d0deed1f20fa085a585947a2a3ea28	3445871	released
a811bcfe-0a0a-4dbd-9fb8-ce7c244cb7e1	TCGA-BRCA.d2046f6d-cec0-4e39-a437-8be0a260cfa4.ascat3.allelic_specific.seg.txt	4c895a851dccc9a4e050c7df363afd45	4130	released
768468cb-c85c-46a8-858b-9dec7be1b6be	TCGA-BRCA.cceccfe3-7764-4959-89ee-978af184c489.absolute_liftover.gene_level_copy_number.v36.tsv	e179166489784600bdcaa31cb370ec74	3433157	released
7f379bef-29a3-4ae0-9e14-180c53e52185	TCGA-BRCA.c75325af-6b3b-40b9-88a2-79754c120cae.absolute_liftover.gene_level_copy_number.v36.tsv	19193adb76eb30c4f881977fb3d22dae	3432566	released
081fc620-1870-4077-8024-0cb219770014	TCGA-BRCA.cceccfe3-7764-4959-89ee-978af184c489.ascat3.allelic_specific.seg.txt	a88a80599172c75d454740bbfd58744f	1712	released
615241cf-677d-4dd6-9489-457fd8f7273e	TCGA-BRCA.d2046f6d-cec0-4e39-a437-8be0a260cfa4.absolute_liftover.gene_level_copy_number.v36.tsv	d5e379cbf404031f176bb4859a1d907f	3430853	released
ad5c8ab3-cb3a-4fd1-80b5-a7cc02838d17	TCGA-BRCA.31afcf05-454e-40db-99db-c2ad7828d87f.ascat2.allelic_specific.seg.txt	39b81a584588d3ed815095b763b08302	5932	released
0a877a25-fd49-4120-9816-f57dff225a85	TCGA-BRCA.5e5b667c-4179-45ba-882c-21d35684ae1a.ascat3.allelic_specific.seg.txt	0479c1553f8281d23b61c7695bffd033	3652	released
6278204a-5440-406b-b8ac-1f7acfeda73b	TCGA-BRCA.8e008f46-3426-4b3f-b9bd-57f4b0ae24c6.absolute_liftover.gene_level_copy_number.v36.tsv	fdd00f28eb16e6d81158e152b311ea89	3431900	released
